id;transcription;domain;intent;slots
1602;Durmín toda a noite do tirón;health;save_health;health_parameter, health_value
1603;Si, durmín moi ben;health;save_health;health_parameter, health_value
1604;Esta noite durmín xenial;health;save_health;health_parameter, health_value
1605;Si oh, durmín moi ben;health;save_health;health_parameter, health_value
1606;Pois a verdade é que descansei ben;health;save_health;health_parameter, health_value
1607;Descansei moito;health;save_health;health_parameter, health_value
1608;Durmín ben;health;save_health;health_parameter, health_value
1609;Mellor mellor, hoxe durmín mellor;health;save_health;health_parameter, health_value
1610;Durmín moito mellor que antonte;health;save_health;health_parameter, health_value
1611;Durmín bastante mellor ca a noite pasada;health;save_health;health_parameter, health_value
1612;Esta noite durmín moito peor ca onte;health;save_health;health_parameter, health_value
1613;A cantidade de urina recollida hoxe é de un coma tres litros;health;save_health;health_parameter, health_value
1614;Anota cero punto nove litros de urina nas últimas vinte e catro horas;health;save_health;health_parameter, health_value
1615;A miña saturación de osíxeno de hoxe é do noventa e catro por cento;health;save_health;health_parameter, health_value
1616;Apunta que teño un oitenta e oito con seis por cento de osíxeno en sangue;health;save_health;health_parameter, health_value
1617;A saturación de osíxeno de hoxe é noventa e dous por cento;health;save_health;health_parameter, health_value
1618;Teño cento vinte e dous de tensión sistólica;health;save_health;health_parameter, health_value
1619;A miña tensión sistólica, a alta, é de cento oitenta;health;save_health;health_parameter, health_value
1620;Por favor, rexistra unha tensión arterial alta de noventa e sete;health;save_health;health_parameter, health_value
1621;Creo que medín mal a cantidade de urina. Podo volver indicala?;health;save_health;health_parameter, health_value
1622;Gustaríame volver rexistrar a porcentaxe de osíxeno no sangue;health;save_health;health_parameter, health_value
1623;Confundinme ao tomar a tensión arterial e quero rexistrala de novo;health;save_health;health_parameter, health_value
1624;Quero corrixir o valor de saturación de osíxeno que anotaches antes;health;save_health;health_parameter, health_value
1625;Anota aí a miña mexada;health;save_health;health_parameter, health_value
1626;Anota que ouriñei vinte mililitros;health;save_health;health_parameter, health_value
1627;Quero anotar a mexa;health;save_health;health_parameter, health_value
1628;Garda a medida de urina de hoxe;health;save_health;health_parameter, health_value
1629;Quero gardar e mexa recollida;health;save_health;health_parameter, health_value
1630;Quero gardar a urina recollida;health;save_health;health_parameter, health_value
1631;Quero garda-lo peso de hoxe;health;save_health;health_parameter, health_value
1632;Quero garda-los datos de sono;health;save_health;health_parameter, health_value
1633;Garda os meus datos de sono;health;save_health;health_parameter, health_value
1634;Garda que hoxe durmín nove horas;health;save_health;health_parameter, health_value
1635;Rexistra un sono de sete horas;health;save_health;health_parameter, health_value
1636;Rexistra un sono de seis horas e media;health;save_health;health_parameter, health_value
1637;Garda que hoxe peso setenta e seis quilos e catrocentos gramos;health;save_health;health_parameter, health_value
1638;Quero garda-lo meu peso de hoxe;health;save_health;health_parameter, health_value
1639;Hoxe pesei cincocentos gramos máis;health;save_health;health_parameter, health_value
1640;Garda que hoxe durmín media hora menos;health;save_health;health_parameter, health_value
1641;Hoxe durmín ben, oito horas polo menos;health;save_health;health_parameter, health_value
1642;Hoxe peso oitenta e tres con sete quilos;health;save_health;health_parameter, health_value
1643;O meu peso hoxe é de sesenta e sete quilos;health;save_health;health_parameter, health_value
1644;Esta noite recollín douscentos mililitros de urina;health;save_health;health_parameter, health_value
1645;Esta noite mexei pouco, cincuenta mililitros;health;save_health;health_parameter, health_value
1646;Rexistra a urina recollida;health;save_health;health_parameter, health_value
1647;Garda aí os datos de urina e de peso;health;save_health;health_parameter, health_value
1648;Rexistra os meus datos de tensión;health;save_health;health_parameter, health_value
1649;Podes rexistrar que a urina recollida é de setenta mililitros?;health;save_health;health_parameter, health_value
1650;Hoxe pesei un quilo menos;health;save_health;health_parameter, health_value
1651;Ando algo canso;health;save_mood;health_parameter, health_value
1652;Estou sen ánimos;health;save_mood;health_parameter, health_value
1653;Non ando moi alá;health;save_mood;health_parameter, health_value
1654;Pois a verdade é que estou algo triste;health;save_mood;health_parameter, health_value
1655;Vou un pouco moída;health;save_mood;health_parameter, health_value
1656;Non estou para festas, a verdade;health;save_mood;health_parameter, health_value
1657;Hoxe non estou para gaitas;health;save_mood;health_parameter, health_value
1658;Non estou para moitos trotes;health;save_mood;health_parameter, health_value
1659;Estou deprimida;health;save_mood;health_parameter, health_value
1660;Ando sen azos;health;save_mood;health_parameter, health_value
1661;Vou falto de ánimos;health;save_mood;health_parameter, health_value
1662;Hoxe non atopo ánimos para seguir;health;save_mood;health_parameter, health_value
1663;Estou un pouco preocupado;health;save_mood;health_parameter, health_value
1664;Non teño folgos;health;save_mood;health_parameter, health_value
1665;Pois en xeral, teño un pouco de desazo;health;save_mood;health_parameter, health_value
1666;Hoxe non me atopo demasiado ben, é unha mágoa;health;save_mood;health_parameter, health_value
1667;Ando desanimada;health;save_mood;health_parameter, health_value
1668;Estes días teño algo de abatemento;health;save_mood;health_parameter, health_value
1669;Pois síntome apático e sen forzas;health;save_mood;health_parameter, health_value
1670;Ultimamente ando moi desganado;health;save_mood;health_parameter, health_value
1671;Éme bastante indiferente todo, a verdade;health;save_mood;health_parameter, health_value
1672;Estou ben, estou ben;health;save_mood;health_parameter, health_value
1673;Hoxe non che teño ganas de leria;health;save_mood;health_parameter, health_value
1674;Pois hoxe prefiro acougar un pouco na casa;health;save_mood;health_parameter, health_value
1675;Pois atópome como nova;health;save_mood;health_parameter, health_value
1676;Hoxe estou contento e feliz;health;save_mood;health_parameter, health_value
1677;Síntome radiante;health;save_mood;health_parameter, health_value
1678;Estes días ando moi leda, non sei por que;health;save_mood;health_parameter, health_value
1679;Estou feliz;health;save_mood;health_parameter, health_value
1680;Estou alegre;health;save_mood;health_parameter, health_value
1681;Hoxe vou alfúfaro;health;save_mood;health_parameter, health_value
1682;Pois hoxe todo é unha ledicia;health;save_mood;health_parameter, health_value
1683;Todo correcto;health;save_mood;health_parameter, health_value
1684;Ben, con enerxías;health;save_mood;health_parameter, health_value
1685;Atópome moi ben, apetéceme facer cousas;health;save_mood;health_parameter, health_value
1686;Hoxe creo que vou ter dita;health;save_mood;health_parameter, health_value
1687;Pois non me podo queixar;health;save_mood;health_parameter, health_value
1688;Vou mellor, para que enganarnos;health;save_mood;health_parameter, health_value
1689;Ben, ben, non me queixo;health;save_mood;health_parameter, health_value
1690;Aí imos, tirando;health;save_mood;health_parameter, health_value
1691;Imos tirando;health;save_mood;health_parameter, health_value
1692;Vou moito mellor;health;save_mood;health_parameter, health_value
1693;Ímolo levando, filliña;health;save_mood;health_parameter, health_value
1694;Hoxe coido que vai ser un bo día;health;save_mood;health_parameter, health_value
1695;Non me atopo ben;health;save_mood;health_parameter, health_value
1696;Non estou moi alá;health;save_mood;health_parameter, health_value
1697;Vou vella;health;save_mood;health_parameter, health_value
1698;Estou forte coma un carballo;health;save_mood;health_parameter, health_value
1699;Moi ben, coma un buxo;health;save_mood;health_parameter, health_value
1700;Pois hoxe atópome moi ben;health;save_mood;health_parameter, health_value
1701;Ben, ben, hoxe teño ganas de leria;health;save_mood;health_parameter, health_value
1702;Vou maior;health;save_mood;health_parameter, health_value
1703;Hoxe é un deses días nos que non me doe nada;health;save_mood;health_parameter, health_value
1704;Non estou para hostias;health;save_mood;health_parameter, health_value
1705;Hoxe creo que vai ser un bo día;health;save_mood;health_parameter, health_value
1706;Síntome como sen forzas;health;save_mood;health_parameter, health_value
1707;Ando rara, algo afectada;health;save_mood;health_parameter, health_value
1708;Síntome bastante ben, a verdade;health;save_mood;health_parameter, health_value
1709;Pois ben, levo uns días mellorando aos poucos;health;save_mood;health_parameter, health_value
1710;Atópome moito mellor desde a última revisión;health;save_mood;health_parameter, health_value
1711;Vou regular;health;save_mood;health_parameter, health_value
1712;Non estou ben;health;save_mood;health_parameter, health_value
1713;Estou coma nunca;health;save_mood;health_parameter, health_value
1714;Ben, ben, atópome cada vez mellor;health;save_mood;health_parameter, health_value
1715;Ando sen ganas de facer nada;health;save_mood;health_parameter, health_value
1716;Hoxe encóntrome moi mal;health;save_mood;health_parameter, health_value
1717;Estou comezando a encontrarme mal;health;save_mood;health_parameter, health_value
1718;Non sei que me pasa, pero encóntrome fatal;health;save_mood;health_parameter, health_value
1719;Xa non teño dor ningunha;health;save_mood;health_parameter, health_value
1720;Onte doíame todo, pero xa estou mellor;health;save_mood;health_parameter, health_value
1721;Agora mesmo síntome bastante desanimado;health;save_mood;health_parameter, health_value
1722;Onte estaba xenial, pero agora dóeme todo;health;save_mood;health_parameter, health_value
1723;Estou derreado;health;save_mood;health_parameter, health_value
1724;Estou deslombada;health;save_mood;health_parameter, health_value
1725;Hoxe estou eslombada;health;save_mood;health_parameter, health_value
1726;Pois estou desfeito, a verdade;health;save_mood;health_parameter, health_value
1727;Puf, estou moído;health;save_mood;health_parameter, health_value
1728;Estou moída, non podo máis;health;save_mood;health_parameter, health_value
1729;Estou cansada;health;save_mood;health_parameter, health_value
1730;Estou feito un trapo;health;save_mood;health_parameter, health_value
1731;Estou feita unha merda;health;save_mood;health_parameter, health_value
1732;Esta semana estou moída;health;save_mood;health_parameter, health_value
1733;Ando moída desde a última consulta;health;save_mood;health_parameter, health_value
1734;Estou cansa;health;save_mood;health_parameter, health_value
1735;Teño moita fatiga;health;save_mood;health_parameter, health_value
1736;Estes días atópome ben;health;save_mood;health_parameter, health_value
1737;Esta semana, moi ben;health;save_mood;health_parameter, health_value
1738;Imos mellorando;health;save_mood;health_parameter, health_value
1739;Estou animado;health;save_mood;health_parameter, health_value
1740;Síntome animado;health;save_mood;health_parameter, health_value
1741;Ben, síntome coma novo;health;save_mood;health_parameter, health_value
1742;Ben, estou feito un rapaz;health;save_mood;health_parameter, health_value
1743;Pois ando moi ledo;health;save_mood;health_parameter, health_value
1744;Estou contenta;health;save_mood;health_parameter, health_value
1745;Ultimamente moi contento;health;save_mood;health_parameter, health_value
1746;Alegre da vida;health;save_mood;health_parameter, health_value
1747;Ai, estes días ando moi leda eu;health;save_mood;health_parameter, health_value
1748;Un pouco triste, non sei por que;health;save_mood;health_parameter, health_value
1749;Levo días bastante alegre;health;save_mood;health_parameter, health_value
1750;Síntome apesarada;health;save_mood;health_parameter, health_value
1751;Xa tomei a pastilla para o sangue?;health;check_pills;pill
1752;Teño que tomar a pastilla do corazón pola mañá?;health;check_pills;pill
1753;Cando teño que tomar a pastilla do colesterol?;health;check_pills;pill
1754;Teño que tomar a pílula para os riles?;health;check_pills;pill
1755;Tomei xa a pílula para a tiroide?;health;check_pills;pill
1756;Que dose teño que tomar para o corazón?;health;check_pills;pill
1757;Non sei se teño que tomar agora a pílula do colesterol, podes axudarme?;health;check_pills;pill
1758;O comprimido para a tiroide, tócame hoxe?;health;check_pills;pill
1759;Dime se teño que tomar a pastilla dos riles;health;check_pills;pill
1760;Cando me toca a pílula da tiroide?;health;check_pills;pill
1761;Boas, dime cando teño que tomar a pastilla para a diabetes hoxe;health;check_pills;pill
1762;Cando toca a pílula do azucre?;health;check_pills;pill
1763;Non lembro se hoxe teño que tomar a pastilla da diabetes;health;check_pills;pill
1764;A pílula para o corazón, toca hoxe?;health;check_pills;pill
1765;Esquecín se teño que tomar a pastilla para o ril;health;check_pills;pill
1766;Faime o favor de dicirme se esta tarde teño que tomar a pastilla do colesterol;health;check_pills;pill
1767;Que dose me toca para a diabetes?;health;check_pills;pill
1768;Sabes a dose que teño que tomar para o colesterol?;health;check_pills;pill
1769;Esquecín a dose da pastilla para a tiroide;health;check_pills;pill
1770;Cando teño que tomar a pílula do ril?;health;check_pills;pill
1771;Esta pastilla, cando teño que tomala?;health;check_pills;pill
1772;Cantas pastillas hai que tomar da amarela?;health;check_pills;pill
1773;Cal é a dose desta pastilla?;health;check_pills;pill
1774;Cal é a dose desta medicación?;health;check_pills;pill
1775;Dime a dose desta pastilla;health;check_pills;pill
1776;Dime a dose da pílula do mediodía ;health;check_pills;pill
1777;Agora é unha pastilla enteira ou só media?;health;check_pills;pill
1778;Cal é a dose da pastilla da noite?;health;check_pills;pill
1779;Dime a dose da medicación da noite;health;check_pills;pill
1780;Quero sabe-la dose que teño que tomar desta medicación;health;check_pills;pill
1781;Recórdasme que pastillas teño que tomar hoxe?;health;check_pills;date
1782;Que pílula me toca tomar despois de xantar?;health;check_pills;date
1783;Non me acordo dos comprimidos que me tocan hoxe, bótasme unha man?;health;check_pills;date
1784;Que pastillas teño que tomar despois de comer?;health;check_pills;date
1785;Pola tarde que teño que tomar?;health;check_pills;date
1786;Que pastillas me tocan mañá?;health;check_pills;date
1787;Podes axudarme coas pastillas que teño que tomar hoxe?;health;check_pills;date
1788;Para mañá, que pílulas teño que preparar?;health;check_pills;date
1789;Dime os comprimidos que preciso tomar despois de cear, por favor;health;check_pills;date
1790;Non teño nin idea das pílulas que me tocan esta tarde;health;check_pills;date
1791;Esquecín as pastillas que me corresponde tomar hoxe;health;check_pills;date
1792;Dime as pastillas que teño que tomar mañá, por favor;health;check_pills;date
1793;Quero saber que pílulas teño que coller para mañá;health;check_pills;date
1794;Sabes se mañá teño que tomar algunha pastilla?;health;check_pills;date
1795;Por favor, dime que comprimidos me tocan hoxe;health;check_pills;date
1796;Cales son as pastillas para esta mañá?;health;check_pills;date
1797;Sabes que pastillas me tocan este domingo?;health;check_pills;date
1798;Recórdame as pílulas para o martes;health;check_pills;date
1799;Xa non me acordo do que teño que tomar hoxe;health;check_pills;date
1800;Axúdasme a saber as pastillas para hoxe?;health;check_pills;date
1801;Que medicación teño que tomar esta noite?;health;check_pills;date
1802;Dime a medicación que teño que tomar hoxe;health;check_pills;date
1803;Teño que tomar algo ao mediodía?;health;check_pills;date
1804;Quero saber a medicación que me toca mañá;health;check_pills;date
1805;Que é o que teño que tomar para o corazón?;health;check_pills;date
1806;Leme as pastillas que me tocan pola mañá;health;check_pills;date
1807;Quero saber que medicamentos teño que tomar;health;check_pills;date
1808;Podes axudarme coa medicación?;health;check_pills;date
1809;Preciso de axuda cos medicamentos;health;check_pills;date
1810;Que carallo teño que tomar polas noites?;health;check_pills;date
1811;Xa non sei se esta pastilla é pola mañá ou pola noite?;health;check_pills;date
1812;Cando me toca o medicamento?;health;check_pills;date
1813;Bótasme unha man coa medicación?;health;check_pills;date
1814;Que pastilla tomo agora?;health;check_pills;date
1815;E agora, cal me toca?;health;check_pills;date
1816;Oíches?, esta pastilla teño que tomala pola noite?;health;check_pills;date
1817;Quero que me axudes coa medicación;health;check_pills;date
1818;Podes aclararme os medicamentos que teño que tomar?;health;check_pills;date
1819;Que pastilla tiña que tomar pola mañá?;health;check_pills;date
1820;A pílula do mediodía, é antes ou despois de xantar?;health;check_pills;date
1821;Dime as medicinas que teño que tomar;health;check_pills;date
1822;Que pastillas teño que tomar agora?;health;check_pills;date
1823;Cales son as pastillas da mañá?;health;check_pills;date
1824;Dime as pastillas da tarde;health;check_pills;date
1825;Dime as pastillas de despois de xantar;health;check_pills;date
1826;Bótame unha man coas medicinas;health;check_pills;date
1827;Bótame unha man coas pastillas;health;check_pills;date
1828;Di as pastillas que teño que tomar despois de almorzar;health;check_pills;date
1829;Que pastillas me tocan ao xantar?;health;check_pills;date
1830;Dime que pastilla teño que tomar agora;health;check_pills;date
1831;Non sei cales son as pastillas que me tocan agora;health;check_pills;date
1832;Recórdame cales son as pastillas que teño que tomar;health;check_pills;date
1833;Teño que volver tomar as pastillas hoxe?;health;check_pills;date
1834;Cal era a dose de medicación que me corresponde?;health;check_pills;date
1835;Non lembro que pastillas tiña que tomar. Podes recordarmo? ;health;check_pills;date
1836;Dime que pastillas tocan;health;check_pills;date
1837;Dime as pastillas que me tocan;health;check_pills;date
1838;Di as pastillas que tocan agora;health;check_pills;date
1839;Di que pastillas me tocan agora mesmo;health;check_pills;date
1840;Quero saber que pastillas me tocan;health;check_pills;date
1841;Teño que preparar as pastillas para mañá;health;check_pills;date
1842;Dime que pastillas me tocan mañá, que preparo a caixa;health;check_pills;date
1843;Cales son as pílulas de primeira hora?;health;check_pills;date
1844;Dime as pastillas do almorzo;health;check_pills;date
1845;Dime que medicinas hai que tomar despois do almorzo;health;check_pills;date
1846;Que medicina teño que tomar agora?;health;check_pills;date
1847;Cal é a pastilla que me toca?;health;check_pills;date
1848;Dime o medicamento que teño que tomar agora;health;check_pills;date
1849;Axúdame coas pastillas;health;check_pills;date
1850;Axúdame coa medicación;health;check_pills;date
1851;Axúdame co medicamento;health;check_pills;date
1852;Axúdame coas medicinas;health;check_pills;date
1853;Axúdame coas pílulas;health;check_pills;date
1854;Bótame unha man co medicamento que me toca agora;health;check_pills;date
1855;Bótame un cabo coa medicación;health;check_pills;date
1856;Cando tiña que tomar esta pastilla?;health;check_pills;date
1857;Dime as pastillas que teño que tomar pola noite;health;check_pills;date
1858;Que teño que tomar antes de durmir?;health;check_pills;date
1859;Podo toma-la pastilla xa?;health;check_pills;date
1860;Dime a medicación que teño que tomar pola noite;health;check_pills;date
1861;Cando tiña que bota-la crema na ferida?;health;check_pills;date
1862;Cantas veces ao día hai que toma-la medicina?;health;check_pills;date
1863;Cantas veces ao día boto a crema?;health;check_pills;date
1864;Dime cantas veces ao día tiña que toma-la medicación;health;check_pills;date
1865;Cada cantas horas tomo a medicación?;health;check_pills;date
1866;Cantas veces ao día hai que tomar esta pastilla?;health;check_pills;date
1867;Cada canto tomo a medicina que me deron?;health;check_pills;date
1868;Cada canto tomo o medicamento que me receitaron?;health;check_pills;date
1869;Dime cantas veces ao día hai que toma-la medicación que me receitaron;health;check_pills;date
1870;Quero saber cando me toca esta pastilla;health;check_pills;date
1871;Cando hai que bota-la crema que me deron?;health;check_pills;date
1872;Cando tiña que bota-las gotas?;health;check_pills;date
1873;A que hora me toca volver bota-las gotas?;health;check_pills;date
1874;Dime cando teño que bota-las gotas;health;check_pills;date
1875;Quero saber cando me toca bota-las gotas de novo;health;check_pills;date
1876;Dime cando teño que bota-la pomada;health;check_pills;date
1877;A pomada, cando teño que botala?;health;check_pills;date
1878;A que hora teño que botar o ungüento?;health;check_pills;date
1879;Dime cando hai que bota-lo ungüento este;health;check_pills;date
1880;Cada cantas horas aplico a pomada?;health;check_pills;date
1881;Cada cantas hora boto a pomada?;health;check_pills;date
1882;Cando hai que face-la untura?;health;check_pills;date
1883;Cando unto a crema?;health;check_pills;date
1884;Cando unto a pomada?;health;check_pills;date
1885;Cando teño que bota-los pos na ferida?;health;check_pills;date
1886;Cando me toca bota-los pos?;health;check_pills;date
1887;Cada canto boto os pos?;health;check_pills;date
1888;Dime cando toca bota-los pos;health;check_pills;date
1889;Cando teño que aplica-los pos?;health;check_pills;date
1890;Di cando hai que aplica-los pos estes;health;check_pills;date
1891;Di cando teño que aplica-lo ungüento;health;check_pills;date
1892;Di cada canto teño que aplica-los pos receitados;health;check_pills;date
1893;Dime cada cantas horas teño que aplica-los pos;health;check_pills;date
1894;Quero saber cada canto me toca a pastilla da tensión;health;check_pills;date
1895;Os pos estes, cando tiña que botalos?;health;check_pills;date
1896;As gotas que me deron, cada canto teño que botalas?;health;check_pills;date
1897;Cantas gotas hai que botar en cada ollo?;health;check_pills;date
1898;Cal era a dose das gotas?;health;check_pills;date
1899;Cal era a dose dos pos para os pés?;health;check_pills;date
1900;Dime a dose das gotas;health;check_pills;date
1901;Quero pedir unha cita;health;appointment;
1902;Quero unha cita co médico de cabeceira;health;appointment;appointment_type
1903;Pódesme pedir unha cita no médico?;health;appointment;
1904;Quero pedir unha cita no médico;health;appointment;
1905;Quero pedir unha cita médica;health;appointment;
1906;Cando hai oco no meu médico de familia?;health;appointment;appointment_type
1907;Cando ten oco a miña médica?;health;appointment;
1908;Boas, gustaríame solicitar unha cita médica;health;appointment;
1909;Quero unha cita no centro médico;health;appointment;
1910;Podes cadrar unha cita de medicina de familia?;health;appointment;
1911;Sabes se hai oco no médico para a semana que vén?;health;appointment;date
1912;Cando me dan cita en enfermería, sabes?;health;appointment;appointment_type
1913;Oíches?, quero reservar unha cita coa miña doutora;health;appointment;date
1914;Sabes se mañá hai oco na miña médica de cabeceira?;health;appointment;date, appointment_type
1915;Quero solicitar unha cita para vacinación;health;appointment;appointment_type
1916;Cando é a próxima cita dispoñible no meu médico?;health;appointment;
1917;Cando ten oco a doutora?;health;appointment;
1918;Quero saber cando é posible ter unha cita co meu médico;health;appointment;
1919;Quero facer unha solicitude de consulta no meu centro médico;health;appointment;
1920;Quero facer unha solicitude de consulta para o médico de familia;health;appointment;appointment_type
1921;Quero que reserves unha consulta para receitas;health;appointment;appointment_type
1922;Pídeme unha cita para que me dean as receitas, por favor;health;appointment;appointment_type
1923;Pide unha cita no meu centro médico;health;appointment;
1924;Quero unha cita para que me receiten as medicinas, cando hai oco?;health;appointment;appointment_type
1925;Pídeme unha cita co especialista;health;appointment;
1926;Quero ter unha consulta por enfermidade;health;appointment;appointment_type
1927;Podes pedir citas para emisión de receitas?;health;appointment;appointment_type
1928;Quero que me reserves unha consulta para atención primaria;health;appointment;appointment_type
1929;Podes pedirme cita para a renovación das miñas receitas?;health;appointment;appointment_type
1930;Boas, pídeme consulta coa miña médica;health;appointment;
1931;Quero pedir cita para unha análise;health;appointment;appointment_type
1932;Pódesme pedir cita para a análise de sangue que teño que facer?;health;appointment;appointment_type
1933;Quero unha cita en atención primaria, cando hai oco?;health;appointment;appointment_type
1934;Podes pedirme cita para o martes que vén?;health;appointment;date
1935;Gustaríame ter unha consulta en dúas semanas, podes pedirma?;health;appointment;date
1936;É posible programar unha consulta esta semana en atención primaria?;health;appointment;date, appointment_type
1937;Cando hai ocos esta semana co meu médico de cabeceira?;health;appointment;date, appointment_type
1938;Que horas ten dispoñible a miña médica esta semana?;health;appointment;date
1939;A que hora podes reservar unha cita mañá?;health;appointment;date
1940;Quero saber que horas hai libres para ter unha cita;health;appointment;
1941;Pódesme reservar unha cita médica?;health;appointment;
1942;Pide unha cita para medicina de familia;health;appointment;appointment_type
1943;Quero que me pidas consulta co doutor;health;appointment;
1944;Que horas ten libre na consulta a miña médica de familia?;health;appointment;appointment_type
1945;Podes ver cando é posible reservar unha cita médica?;health;appointment;
1946;Podes programar unha cita médica?;health;appointment;
1947;Pídeme aí unha cita;health;appointment;
1948;Quero unha cita en enfermería, podes ver se hai ocos o xoves?;health;appointment;date, appointment_type
1949;Podes comprobar se hai horas libres no meu médico o luns doce?;health;appointment;date
1950;Ten ocos na consulta o próximo mércores?;health;appointment;date
1951;Podes reservarme unha cita no médico;health;appointment;
1952;Quero reservarlle unha cita a meu pai. Podes?;health;appointment;
1953;Cando ten un oco a doutora o martes vinte e un?;health;appointment;date
1954;Cando é a primeira hora libre para facer unha análise?;health;appointment;appointment_type
1955;Quero saber que ocos hai libres para pedir cita en atención primaria;health;appointment;appointment_type
1956;Podes dicirme que ocos hai na consulta do meu doutor a semana que vén?;health;appointment;date
1957;Dime cando é posible ter unha consulta coa médica de cabeceira;health;appointment;appointment_type
1958;Quero ter unha nova cita médica;health;appointment;
1959;Podes pedirme unha cita para mañá ou pasado?;health;appointment;date
1960;Cando podes reservarme unha cita co meu médico?;health;appointment;
1961;Cando é posible ter unha nova cita?;health;appointment;
1962;Pídeme unha nova cita;health;appointment;
1963;Quero pedir unha cita para vacinarme;health;appointment;appointment_type
1964;Podes pedirme cita para a vacina da gripe?;health;appointment;appointment_type
1965;Cando me podes dar cita este ano para vacinarme da gripe?;health;appointment;appointment_type
1966;Pídeme cita en enfermaría;health;appointment;appointment_type
1967;Estoume quedando sen medicinas, necesito unha consulta para emisión de receitas;health;appointment;appointment_type
1968;Pídeme unha cita para as receitas;health;appointment;appointment_type
1969;Quero pedir unha cita para emisión de receitas;health;appointment;appointment_type
1970;Podes facer unha solicitude de consulta para as receitas?;health;appointment;appointment_type
1971;Levo uns días fatal, pódesme pedir cita coa miña médica?;health;appointment;
1972;Teño que pedir cita para a renovación das miñas receitas crónicas;health;appointment;appointment_type
1973;Quero pedir cita en atención farmacéutica;health;appointment;appointment_type
1974;Quero unha cita de receitas;health;appointment;appointment_type
1975;Quero programar unha cita para enfermería;health;appointment;appointment_type
1976;Pide unha cita para o próximo oco dispoñible;health;appointment;
1977;Quero unha cita para análise en canto sexa posible;health;appointment;appointment_type
1978;Resérvame a primeira hora dispoñible co meu doutor;health;appointment;
1979;Cando podo ir á vacina da gripe?;health;appointment;appointment_type
1980;Cando hai oco para vacinar da gripe a miña nai?;health;appointment;appointment_type
1981;Pide unha cita en atención primaria;health;appointment;appointment_type
1982;Reserva unha consulta en medicina de familia;health;appointment;appointment_type
1983;Cando podo ter unha cita co meu médico de familia?;health;appointment;appointment_type
1984;Que ocos ten a miña médica de cabeceira esta semana?;health;appointment;date, appointment_type
1985;Quero reservar unha consulta médica;health;appointment;
1986;Necesito pedir unha cita para as receitas;health;appointment;appointment_type
1987;Necesito unha cita médica para que me dean máis receitas;health;appointment;appointment_type
1988;Quero que me reserves unha consulta para receitas, podes?;health;appointment;appointment_type
1989;Pídeme unha cita para medicina de familia;health;appointment;appointment_type
1990;Faime a reserva dunha nova consulta para esta semana;health;appointment;date
1991;Quedan ocos para unha cita esta semana?;health;appointment;date
1992;Mañá hai algún oco para ter unha cita?;health;appointment;
1993;Quero que me vexa o doutor;health;appointment;
1994;Pódesme pedir cita para medicina de familia?;health;appointment;appointment_type
1995;Cando me dan cita coa miña doutora, sabes?;health;appointment;
1996;Quero ter unha cita coa miña doutora;health;appointment;
1997;E ti podes pedir unha cita esta semana?;health;appointment;date
1998;Quedan horas libres para a miña doutora esta semana?;health;appointment;date
1999;Cando é o primeiro oco que ten o meu doutor?;health;appointment;
2000;Solicita a próxima consulta que teña dispoñible o meu doutor de cabeceira;health;appointment;appointment_type
2001;Dóeme moito o cóbado e quero pedir unha cita;health;appointment;symptom
2002;Dáme a próxima cita en atención primaria;health;appointment;symptom
2003;Dóeme unha perna, pódesme pedir cita?;health;appointment;symptom
2004;Ando con febre, pídeme cita;health;appointment;symptom
2005;Estou con quentadura, cando me dan cita?;health;appointment;symptom
2006;Penso que teño infección no oído, poden verme mañá?;health;appointment;symptom
2007;Dóeme a testa e teño mocos, igual é momento de pedir cita na médica;health;appointment;symptom
2008;Ando coa tensión fatal, pódesme pedir unha cita canto antes?;health;appointment;symptom
2009;Pois teño dificultade ao respirar, como se quedara sen aire;health;appointment;symptom
2010;Pois ando con dor na gorxa, creo que quero que me vexa o médico;health;appointment;symptom
2011;Quero ver a médica, que me rasca a gorxa;health;appointment;symptom
2012;Estou afónica e con dor na cabeza, pide unha cita se hai oco;health;appointment;symptom
2013;Cústame tragar e dóeme a gorxa, podo ir ao médico?;health;appointment;symptom
2014;Pódesme pedir cita no médico?, que levo uns días con moita dor no peito;health;appointment;symptom
2015;Pídeme cita no médico canto antes, que non aguanto máis;health;appointment;symptom
2016;Pídeme unha nova cita en atención primaria;health;appointment;symptom
2017;Quero que me pidas unha cita en atención primaria;health;appointment;symptom
2018;Quero pedir cita por dor no peito;health;appointment;symptom
2019;Quero pedir cita por mareos;health;appointment;symptom
2020;Creo que teño gripe, hai oco hoxe ou mañá?;health;appointment;symptom
2021;Creo que teño covid, podo ir ao médico a ver se me dan algo?;health;appointment;symptom
2022;Estou con síntomas de covid;health;appointment;symptom
2023;Teño catarro, quero ir ao médico a que me bote un ollo;health;appointment;symptom
2024;Atópome fatal, como con gripe ou catarro, pídeme unha cita;health;appointment;symptom
2025;Teño síntomas de covid ou gripe, quero ir á médica;health;appointment;symptom
2026;Levo uns días cun constipado que non me dá pasado, pídesme cita?;health;appointment;symptom
2027;Teño dor nas mans da artrose, quero que me vexa un médico;health;appointment;symptom
2028;Quero unha cita en atención primaria para que me receiten algo;health;appointment;symptom
2029;Levei un golpe no ombreiro, pídeme cita para que lle boten un ollo;health;appointment;symptom
2030;Quero cita en atención primaria para unha análise;health;appointment;symptom
2031;Caín e levei un golpe na cadeira. Pódesme pedir cita?;health;appointment;symptom
